University Name,Full-time Undergrad,Full-time Graduate,Part-time Undergrad,Part-time Graduate,Province
Acadia University,3680,146,330,314,Nova Scotia
Algoma University,5700,70,480,,Ontario
Athabasca University (PT only),2796,849,27660,3368,Alberta
Bishop's University,2406,169,275,19,Québec
Brandon University,2316,256,303,188,Manitoba
Brescia University College,,,,,Ontario
Brock University,15600,1600,1700,220,Ontario
Campion College,716,0,78,,Saskatchewan
Canadian Mennonite University,0,0,,,Manitoba
Cape Breton University,7148,304,451,142,Nova Scotia
Capilano University,7256,0,1683,,British Columbia
Carleton University,19600,3900,5500,1400,Ontario
Concordia University,21673,6251,9141,345,Québec
Concordia University of Edmonton,1991,203,99,89,Alberta
Dalhousie University,14588,4060,1624,740,Nova Scotia
École des Hautes Etudes Commerciales (HEC),5373,2142,4589,1832,Québec
École de technologie supérieure,4602,2520,1570,577,Québec
École nationale d'administration publique,0,1128,,1110,Québec
Emily Carr University of Art + Design,2058,98,109,3,British Columbia
First Nations University of Canada,1005,0,191,,Saskatchewan
Huron University College,8753,,59,,Ontario
Institut national de la recherche scientifique,0,615,,67,Québec
King's University College at Western University,6050,65,466,,Ontario
Kwantlen Polytechnic University,9859,138,2654,46,British Columbia
Lakehead University,5900,1800,1500,20,Ontario
Laurentian University (includes Hearst University),4600,1700,1600,280,Ontario
Luther College,394,0,78,,Saskatchewan
MacEwan University,14324,0,1374,0,Alberta
McGill University,25187,7892,2541,1436,Québec
McMaster University,30000,4800,1200,900,Ontario
Memorial University of Newfoundland,11405,3399,1441,1126,Newfoundland & Labrador
Mount Allison University,2403,18,96,2,New Brunswick
Mount Royal University,11383,0,868,0,Alberta
Mount Saint Vincent University,2418,193,482,743,Nova Scotia
Nipissing University,4300,170,1100,,Ontario
NSCAD University,590,51,195,13,Nova Scotia
OCAD University,4400,230,480,80,Ontario
Ontario Tech University,10200,830,710,280,Ontario
Polytechnique Montréal,6090,2051,2118,230,Québec
Queen's University,24600,5300,4300,1300,Ontario
Redeemer University College,1074,,54,,Ontario
Royal Military College of Canada,1212,334,921,367,Ontario
Royal Roads University,428,2235,,,British Columbia
Saint Mary's University,4838,612,400,121,Nova Scotia
Simon Fraser University,14349,3633,11219,653,British Columbia
St. Francis Xavier University,3872,115,454,641,Nova Scotia
St. Jerome's University,,,,,Ontario
St. Paul's College,,,,,Manitoba
St. Thomas More College (FT and PT combined),1078,0,137,0,Saskatchewan
St. Thomas University,1599,43,94,1,New Brunswick
The King's University,800,0,30,0,Alberta
The University of British Columbia,41707,10222,15869,1788,British Columbia
The University of Winnipeg,6928,185,1658,9,Manitoba
Thompson Rivers University,8245,730,10130,387,British Columbia
Toronto Metropolitan University,32000,2700,13400,290,Ontario
Trent University,11000,1100,1400,190,Ontario
Trinity Western University,2054,2936,595,,British Columbia
Université de Moncton,4917,569,288,213,New Brunswick
Université de Montréal,24686,11510,8132,2690,Québec
Université de Saint-Boniface,732,0,149,93,Manitoba
Université de Sherbrooke,12059,5971,2666,5587,Québec
Université du Québec à Chicoutimi,3909,1464,1116,403,Québec
Université du Québec à Montréal,16948,5724,9133,2902,Québec
Université du Québec à Rimouski,2870,1113,2365,563,Québec
Université du Québec à Trois-Rivières,8168,2319,3477,1284,Québec
Université du Québec en Abitibi-Témiscamingue,1050,575,2948,570,Québec
Université du Québec en Outaouais,3511,1189,1459,808,Québec
Université Laval,23208,9370,10850,5115,Québec
Université Sainte-Anne,489,10,39,22,Nova Scotia
Université TÉLUQ,526,67,4717,1302,Québec
University of Alberta,34822,6802,1920,1615,Alberta
University of Calgary,29145,6812,1255,964,Alberta
University of Guelph,27500,2900,3300,250,Ontario
University of King's College,877,115,26,0,Nova Scotia
University of Lethbridge,7148,552,510,163,Alberta
University of Manitoba,23770,3320,3062,483,Manitoba
University of New Brunswick,8138,1285,645,595,New Brunswick
University of Northern British Columbia,2363,604,299,69,British Columbia
University of Ottawa,36300,7000,5000,1400,Ontario
University of Prince Edward Island,4685,631,353,0,Prince Edward Island
University of Regina (excludes colleges),10535,1307,1823,1075,Saskatchewan
University of Saskatchewan,17809,3147,1540,495,Saskatchewan
University of St. Michael's College,,,,,Ontario
University of Sudbury,,,,,Ontario
University of the Fraser Valley,8307,175,2290,36,British Columbia
University of Toronto,74000,20100,6300,1500,Ontario
University of Trinity College,2235,35,185,45,Ontario
University of Victoria,14653,3067,4032,233,British Columbia
University of Waterloo,34300,1400,1100,1500,Ontario
University of Windsor,10700,4600,1500,80,Ontario
Vancouver Island University,5454,500,1028,250,British Columbia
Victoria University (includes Emmanuel College),4043,,370,,Ontario
Western University (excludes colleges),35600,,1700,390,Ontario
Wilfrid Laurier University,17400,1400,3600,930,Ontario
York University,40600,4600,6100,1600,Ontario
